project_id,project_name,project_type,start_date,planned_end_date,actual_end_date,base_budget,contingency_budget,total_budget,actual_cost,progress_percentage,status,priority,risk_level,benefits_realized,key_milestones,stakeholders
CAPEX-000123,Facility Expansion Project 123,Facility Expansion,2022-06-07,2023-10-30,2023-10-30,3892751.41,319543.63,4212295.04,4300735.66,94.58,Completed,High,Medium,"[""Cost savings"", ""Improved customer service"", ""Better environmental compliance""]","[""Staff training"", ""Commissioning"", ""Project planning completed"", ""Testing phase"", ""Design phase completed"", ""Project handover""]","[""Local Community"", ""Maintenance Team"", ""Customer Service"", ""Regulatory Bodies""]"
CAPEX-000124,Infrastructure Upgrade Project 124,Infrastructure Upgrade,2022-05-20,2023-02-14,2023-02-14,4388384.73,307505.87,4695890.59,4257361.14,81.15,Completed,Medium,High,"[""Increased capacity"", ""Reduced maintenance costs"", ""Better environmental compliance""]","[""Commissioning"", ""Staff training"", ""Project planning completed"", ""Project handover"", ""Design phase completed"", ""Installation completed""]","[""Contractors"", ""Maintenance Team"", ""Environmental Team"", ""Customer Service""]"
CAPEX-000125,Environmental Compliance Project 125,Environmental Compliance,2022-06-25,2023-02-20,2023-02-20,4204503.47,318978.83,4523482.3,4152911.32,96.62,Completed,Medium,Low,"[""Better environmental compliance"", ""Cost savings"", ""Enhanced safety measures""]","[""Installation completed"", ""Staff training"", ""Design phase completed"", ""Equipment procurement"", ""Project handover"", ""Testing phase""]","[""Operations Team"", ""Environmental Team"", ""Maintenance Team""]"
CAPEX-000126,Distribution Network Improvement Project 126,Distribution Network Improvement,2022-07-03,2022-10-01,2022-10-01,1196473.16,132610.37,1329083.53,1385633.5,98.86,Completed,Medium,Medium,"[""Technology advancement"", ""Reduced maintenance costs"", ""Enhanced safety measures"", ""Better environmental compliance""]","[""Commissioning"", ""Testing phase"", ""Project planning completed"", ""Staff training"", ""Equipment procurement""]","[""Customer Service"", ""Safety Department"", ""Regulatory Bodies"", ""Operations Team"", ""Environmental Team""]"
CAPEX-000127,Treatment Plant Modernization Project 127,Treatment Plant Modernization,2022-06-24,2023-05-20,2023-05-20,3238914.25,440975.46,3679889.71,3835250.07,85.22,Completed,High,Low,"[""Better environmental compliance"", ""Improved operational efficiency"", ""Increased capacity"", ""Technology advancement"", ""Reduced maintenance costs""]","[""Equipment procurement"", ""Staff training"", ""Project planning completed"", ""Installation completed"", ""Project handover"", ""Design phase completed""]","[""Local Community"", ""Environmental Team"", ""Regulatory Bodies"", ""Operations Team""]"
CAPEX-000128,Technology Implementation Project 128,Technology Implementation,2022-06-24,2023-04-20,2023-04-20,3462958.74,394193.3,3857152.04,4197096.7,89.51,Completed,Low,Medium,"[""Reduced maintenance costs"", ""Technology advancement"", ""Improved operational efficiency""]","[""Equipment procurement"", ""Staff training"", ""Project handover"", ""Testing phase"", ""Design phase completed""]","[""Regulatory Bodies"", ""Contractors"", ""Operations Team"", ""Maintenance Team"", ""Safety Department""]"
CAPEX-000129,Technology Implementation Project 129,Technology Implementation,2022-07-07,2023-07-02,,2160315.58,299601.97,2459917.56,2502016.93,87.43,On Track,High,Medium,"[""Enhanced safety measures"", ""Better environmental compliance"", ""Technology advancement""]","[""Design phase completed"", ""Commissioning"", ""Staff training"", ""Installation completed"", ""Equipment procurement"", ""Project handover""]","[""Safety Department"", ""Maintenance Team"", ""Local Community""]"
CAPEX-000130,Safety Enhancement Project 130,Safety Enhancement,2022-08-01,2023-12-24,2023-12-24,801798.35,109236.52,911034.87,834655.79,83.61,Completed,Low,Low,"[""Improved operational efficiency"", ""Technology advancement"", ""Better environmental compliance"", ""Reduced maintenance costs""]","[""Equipment procurement"", ""Testing phase"", ""Design phase completed"", ""Installation completed""]","[""Safety Department"", ""Customer Service"", ""Environmental Team""]"
CAPEX-000131,Safety Enhancement Project 131,Safety Enhancement,2022-07-26,2023-11-18,2023-11-18,4830106.42,426651.23,5256757.65,4940736.36,80.75,Completed,High,Medium,"[""Better environmental compliance"", ""Improved operational efficiency"", ""Improved customer service"", ""Cost savings"", ""Enhanced safety measures""]","[""Staff training"", ""Equipment procurement"", ""Design phase completed"", ""Project planning completed""]","[""Customer Service"", ""Maintenance Team"", ""Operations Team"", ""Regulatory Bodies""]"
CAPEX-000132,Facility Expansion Project 132,Facility Expansion,2022-08-13,2023-08-08,2023-08-08,2334038.93,238139.29,2572178.22,2538053.25,90.48,Completed,Medium,Medium,"[""Better environmental compliance"", ""Enhanced safety measures"", ""Technology advancement"", ""Improved operational efficiency""]","[""Installation completed"", ""Staff training"", ""Design phase completed"", ""Commissioning""]","[""Operations Team"", ""Customer Service"", ""Local Community"", ""Maintenance Team"", ""Contractors""]"
CAPEX-000133,Infrastructure Upgrade Project 133,Infrastructure Upgrade,2022-08-25,2024-07-15,2024-07-15,1353366.95,140037.4,1493404.36,1641155.88,80.97,Completed,Low,Low,"[""Enhanced safety measures"", ""Better environmental compliance"", ""Cost savings""]","[""Design phase completed"", ""Testing phase"", ""Equipment procurement"", ""Installation completed"", ""Project handover""]","[""Operations Team"", ""Safety Department"", ""Environmental Team""]"
CAPEX-000134,Treatment Plant Modernization Project 134,Treatment Plant Modernization,2022-09-03,2024-03-26,2024-03-26,1422888.03,157319.39,1580207.42,1684707.4,82.74,Completed,Low,High,"[""Enhanced safety measures"", ""Reduced maintenance costs"", ""Improved operational efficiency"", ""Improved customer service"", ""Better environmental compliance""]","[""Installation completed"", ""Commissioning"", ""Equipment procurement"", ""Testing phase""]","[""Regulatory Bodies"", ""Contractors"", ""Environmental Team""]"
CAPEX-000135,Facility Expansion Project 135,Facility Expansion,2022-08-18,2022-12-16,2022-12-16,2785879.94,392908.42,3178788.37,3166495.32,93.76,Completed,High,Low,"[""Enhanced safety measures"", ""Improved operational efficiency"", ""Increased capacity"", ""Better environmental compliance"", ""Technology advancement""]","[""Design phase completed"", ""Staff training"", ""Commissioning"", ""Project planning completed""]","[""Environmental Team"", ""Contractors"", ""Safety Department"", ""Regulatory Bodies""]"
CAPEX-000136,Infrastructure Upgrade Project 136,Infrastructure Upgrade,2022-09-15,2023-05-13,,4383288.2,592729.57,4976017.77,5151936.45,87.2,On Track,Low,Low,"[""Improved operational efficiency"", ""Technology advancement"", ""Enhanced safety measures""]","[""Equipment procurement"", ""Project handover"", ""Commissioning"", ""Installation completed"", ""Staff training"", ""Testing phase""]","[""Regulatory Bodies"", ""Local Community"", ""Safety Department""]"
CAPEX-000137,Distribution Network Improvement Project 137,Distribution Network Improvement,2022-09-15,2023-12-09,,2061226.11,197164.25,2258390.36,2344165.12,96.71,On Track,Medium,High,"[""Enhanced safety measures"", ""Technology advancement"", ""Improved customer service""]","[""Project planning completed"", ""Commissioning"", ""Design phase completed"", ""Project handover"", ""Installation completed"", ""Equipment procurement""]","[""Contractors"", ""Maintenance Team"", ""Customer Service"", ""Environmental Team""]"
CAPEX-000138,Environmental Compliance Project 138,Environmental Compliance,2022-10-01,2022-12-30,,4326621.3,597052.21,4923673.51,5309455.93,94.55,On Track,Medium,Low,"[""Technology advancement"", ""Improved operational efficiency"", ""Cost savings"", ""Reduced maintenance costs""]","[""Staff training"", ""Project planning completed"", ""Project handover"", ""Testing phase"", ""Design phase completed"", ""Equipment procurement""]","[""Maintenance Team"", ""Environmental Team"", ""Regulatory Bodies"", ""Contractors""]"
CAPEX-000139,Automation Project Project 139,Automation Project,2022-09-23,2024-09-12,2024-09-12,3413848.28,302083.45,3715931.74,3759292.38,96.78,Completed,High,High,"[""Technology advancement"", ""Cost savings"", ""Better environmental compliance""]","[""Design phase completed"", ""Commissioning"", ""Installation completed"", ""Equipment procurement""]","[""Regulatory Bodies"", ""Safety Department"", ""Operations Team""]"
CAPEX-000140,Technology Implementation Project 140,Technology Implementation,2022-10-29,2024-09-18,,1955324.2,257536.4,2212860.6,2188160.15,81.58,On Track,High,Medium,"[""Improved customer service"", ""Improved operational efficiency"", ""Better environmental compliance"", ""Cost savings""]","[""Commissioning"", ""Installation completed"", ""Project planning completed"", ""Testing phase""]","[""Operations Team"", ""Local Community"", ""Contractors"", ""Customer Service"", ""Safety Department""]"
CAPEX-000141,Technology Implementation Project 141,Technology Implementation,2022-11-01,2024-10-21,,2335418.82,196374.67,2531793.5,2692100.93,96.51,On Track,Medium,High,"[""Technology advancement"", ""Improved customer service"", ""Cost savings"", ""Reduced maintenance costs"", ""Better environmental compliance""]","[""Design phase completed"", ""Commissioning"", ""Staff training"", ""Project handover""]","[""Regulatory Bodies"", ""Safety Department"", ""Contractors""]"
CAPEX-000142,Facility Expansion Project 142,Facility Expansion,2022-10-29,2024-05-21,,1932062.77,117145.26,2049208.03,2046102.31,97.94,On Track,High,Medium,"[""Better environmental compliance"", ""Enhanced safety measures"", ""Improved operational efficiency"", ""Technology advancement"", ""Cost savings""]","[""Installation completed"", ""Staff training"", ""Equipment procurement"", ""Project planning completed"", ""Project handover""]","[""Maintenance Team"", ""Local Community"", ""Environmental Team""]"
CAPEX-000143,Automation Project Project 143,Automation Project,2022-11-02,2024-07-24,2024-07-24,4785332.58,303694.44,5089027.02,5119932.01,89.98,Completed,Low,Medium,"[""Technology advancement"", ""Increased capacity"", ""Enhanced safety measures"", ""Cost savings"", ""Improved customer service""]","[""Equipment procurement"", ""Project planning completed"", ""Installation completed"", ""Testing phase"", ""Project handover"", ""Staff training""]","[""Local Community"", ""Customer Service"", ""Regulatory Bodies"", ""Maintenance Team""]"
CAPEX-000144,Facility Expansion Project 144,Facility Expansion,2022-10-24,2023-11-18,2023-11-18,4855409.08,462645.57,5318054.65,5225249.79,82.67,Completed,Low,High,"[""Better environmental compliance"", ""Enhanced safety measures"", ""Cost savings"", ""Increased capacity""]","[""Testing phase"", ""Staff training"", ""Equipment procurement"", ""Design phase completed"", ""Project handover"", ""Commissioning""]","[""Regulatory Bodies"", ""Contractors"", ""Operations Team"", ""Safety Department"", ""Environmental Team""]"
CAPEX-000145,Safety Enhancement Project 145,Safety Enhancement,2022-12-02,2024-07-24,2024-07-24,1501047.1,202236.24,1703283.34,1711026.46,96.17,Completed,Medium,Low,"[""Improved operational efficiency"", ""Enhanced safety measures"", ""Reduced maintenance costs""]","[""Testing phase"", ""Staff training"", ""Equipment procurement"", ""Design phase completed""]","[""Customer Service"", ""Maintenance Team"", ""Contractors""]"
CAPEX-000146,Infrastructure Upgrade Project 146,Infrastructure Upgrade,2022-11-22,2024-04-15,,602152.03,82376.53,684528.56,734477.44,94.79,On Track,High,High,"[""Increased capacity"", ""Improved customer service"", ""Cost savings"", ""Improved operational efficiency"", ""Better environmental compliance""]","[""Commissioning"", ""Project handover"", ""Staff training"", ""Equipment procurement"", ""Project planning completed""]","[""Customer Service"", ""Maintenance Team"", ""Contractors""]"
CAPEX-000147,Automation Project Project 147,Automation Project,2022-12-07,2023-10-03,2023-10-03,4566283.25,550067.75,5116351.0,5377395.11,92.95,Completed,Low,Low,"[""Technology advancement"", ""Enhanced safety measures"", ""Improved customer service"", ""Improved operational efficiency""]","[""Equipment procurement"", ""Staff training"", ""Testing phase"", ""Project planning completed""]","[""Operations Team"", ""Environmental Team"", ""Safety Department"", ""Customer Service""]"
CAPEX-000148,Facility Expansion Project 148,Facility Expansion,2022-11-15,2023-07-13,2023-07-13,2961531.68,223600.42,3185132.11,3318709.73,86.61,Completed,High,Low,"[""Improved operational efficiency"", ""Cost savings"", ""Improved customer service"", ""Increased capacity""]","[""Testing phase"", ""Installation completed"", ""Project handover"", ""Staff training"", ""Equipment procurement"", ""Project planning completed""]","[""Regulatory Bodies"", ""Customer Service"", ""Maintenance Team"", ""Contractors"", ""Operations Team""]"
CAPEX-000149,Distribution Network Improvement Project 149,Distribution Network Improvement,2022-11-24,2024-07-16,2024-07-16,2731476.17,161688.52,2893164.68,2727301.76,84.42,Completed,Medium,Medium,"[""Better environmental compliance"", ""Cost savings"", ""Increased capacity"", ""Improved customer service""]","[""Project planning completed"", ""Project handover"", ""Staff training"", ""Equipment procurement"", ""Installation completed""]","[""Environmental Team"", ""Operations Team"", ""Regulatory Bodies""]"
CAPEX-000150,Safety Enhancement Project 150,Safety Enhancement,2023-01-09,2023-07-08,2023-07-08,1990792.08,207089.62,2197881.7,2378695.24,85.66,Completed,Low,High,"[""Technology advancement"", ""Improved operational efficiency"", ""Reduced maintenance costs"", ""Enhanced safety measures""]","[""Design phase completed"", ""Project planning completed"", ""Project handover"", ""Testing phase"", ""Commissioning""]","[""Maintenance Team"", ""Contractors"", ""Regulatory Bodies"", ""Local Community"", ""Environmental Team""]"
CAPEX-000151,Treatment Plant Modernization Project 151,Treatment Plant Modernization,2022-12-17,2024-08-08,2024-08-08,4160868.49,573632.82,4734501.31,4673177.93,94.83,Completed,Low,High,"[""Improved operational efficiency"", ""Better environmental compliance"", ""Improved customer service""]","[""Project planning completed"", ""Project handover"", ""Commissioning"", ""Staff training"", ""Design phase completed""]","[""Maintenance Team"", ""Customer Service"", ""Contractors"", ""Safety Department""]"
CAPEX-000152,Safety Enhancement Project 152,Safety Enhancement,2022-12-23,2024-05-16,2024-05-16,3188064.6,297454.41,3485519.0,3606326.21,80.34,Completed,Low,High,"[""Enhanced safety measures"", ""Cost savings"", ""Improved customer service"", ""Increased capacity"", ""Improved operational efficiency""]","[""Design phase completed"", ""Equipment procurement"", ""Testing phase"", ""Project planning completed"", ""Commissioning"", ""Installation completed""]","[""Maintenance Team"", ""Safety Department"", ""Environmental Team"", ""Regulatory Bodies""]"
CAPEX-000153,Infrastructure Upgrade Project 153,Infrastructure Upgrade,2023-01-25,2023-09-22,2023-09-22,2713992.04,172713.42,2886705.46,3058455.56,87.82,Completed,Low,Low,"[""Improved customer service"", ""Improved operational efficiency"", ""Increased capacity"", ""Technology advancement""]","[""Design phase completed"", ""Project planning completed"", ""Commissioning"", ""Testing phase""]","[""Local Community"", ""Customer Service"", ""Contractors"", ""Operations Team"", ""Safety Department""]"
CAPEX-000154,Technology Implementation Project 154,Technology Implementation,2023-02-02,2024-03-28,2024-03-28,1137511.02,159891.74,1297402.76,1204626.81,97.03,Completed,High,High,"[""Better environmental compliance"", ""Improved operational efficiency"", ""Enhanced safety measures"", ""Increased capacity""]","[""Project handover"", ""Staff training"", ""Testing phase"", ""Project planning completed""]","[""Maintenance Team"", ""Safety Department"", ""Operations Team"", ""Contractors""]"
CAPEX-000155,Automation Project Project 155,Automation Project,2023-02-09,2024-03-05,2024-03-05,1849977.96,216687.1,2066665.06,1977855.15,84.69,Completed,High,Medium,"[""Technology advancement"", ""Reduced maintenance costs"", ""Increased capacity"", ""Cost savings""]","[""Equipment procurement"", ""Testing phase"", ""Commissioning"", ""Project handover"", ""Staff training"", ""Design phase completed""]","[""Operations Team"", ""Safety Department"", ""Maintenance Team""]"
CAPEX-000156,Technology Implementation Project 156,Technology Implementation,2023-02-01,2024-12-22,,2237007.92,299783.68,2536791.61,2654992.29,82.69,On Track,Medium,Medium,"[""Increased capacity"", ""Better environmental compliance"", ""Technology advancement"", ""Improved operational efficiency""]","[""Design phase completed"", ""Commissioning"", ""Equipment procurement"", ""Project handover""]","[""Environmental Team"", ""Safety Department"", ""Regulatory Bodies"", ""Operations Team"", ""Customer Service""]"
CAPEX-000157,Infrastructure Upgrade Project 157,Infrastructure Upgrade,2023-03-07,2024-11-26,2024-11-26,2936613.86,372715.11,3309328.96,3002657.62,84.26,Completed,Low,High,"[""Reduced maintenance costs"", ""Technology advancement"", ""Better environmental compliance"", ""Enhanced safety measures""]","[""Testing phase"", ""Design phase completed"", ""Installation completed"", ""Project handover"", ""Project planning completed"", ""Commissioning""]","[""Operations Team"", ""Regulatory Bodies"", ""Maintenance Team"", ""Customer Service""]"
CAPEX-000158,Distribution Network Improvement Project 158,Distribution Network Improvement,2023-03-25,2023-11-20,,977811.4,141656.69,1119468.1,1224191.1,93.19,On Track,Medium,Low,"[""Technology advancement"", ""Enhanced safety measures"", ""Improved operational efficiency""]","[""Staff training"", ""Design phase completed"", ""Project planning completed"", ""Commissioning"", ""Equipment procurement""]","[""Contractors"", ""Environmental Team"", ""Operations Team"", ""Regulatory Bodies""]"
CAPEX-000159,Environmental Compliance Project 159,Environmental Compliance,2023-03-14,2024-10-04,2024-10-04,3204478.21,247864.89,3452343.1,3506635.64,94.84,Completed,Medium,High,"[""Improved customer service"", ""Increased capacity"", ""Technology advancement"", ""Improved operational efficiency""]","[""Testing phase"", ""Installation completed"", ""Design phase completed"", ""Project handover"", ""Commissioning"", ""Staff training""]","[""Contractors"", ""Local Community"", ""Environmental Team"", ""Customer Service""]"
CAPEX-000160,Distribution Network Improvement Project 160,Distribution Network Improvement,2023-04-24,2023-12-20,2023-12-20,1226954.75,124479.62,1351434.38,1256898.95,85.62,Completed,Medium,High,"[""Enhanced safety measures"", ""Improved customer service"", ""Technology advancement"", ""Better environmental compliance"", ""Reduced maintenance costs""]","[""Design phase completed"", ""Installation completed"", ""Staff training"", ""Commissioning"", ""Testing phase"", ""Project planning completed""]","[""Safety Department"", ""Regulatory Bodies"", ""Environmental Team"", ""Operations Team"", ""Maintenance Team""]"
CAPEX-000161,Distribution Network Improvement Project 161,Distribution Network Improvement,2023-05-28,2025-02-16,2025-02-16,889532.79,100476.32,990009.11,1004318.57,80.78,Completed,High,Medium,"[""Cost savings"", ""Increased capacity"", ""Technology advancement""]","[""Project planning completed"", ""Staff training"", ""Commissioning"", ""Equipment procurement"", ""Project handover"", ""Installation completed""]","[""Contractors"", ""Local Community"", ""Environmental Team"", ""Maintenance Team""]"
CAPEX-000162,Safety Enhancement Project 162,Safety Enhancement,2023-06-28,2024-01-24,2024-01-24,3993618.74,527338.66,4520957.4,4665310.44,83.64,Completed,High,High,"[""Improved customer service"", ""Better environmental compliance"", ""Increased capacity"", ""Technology advancement"", ""Improved operational efficiency""]","[""Commissioning"", ""Installation completed"", ""Design phase completed"", ""Project planning completed""]","[""Environmental Team"", ""Customer Service"", ""Local Community""]"
CAPEX-000163,Safety Enhancement Project 163,Safety Enhancement,2023-07-05,2024-01-31,2024-01-31,3067003.99,207765.65,3274769.64,3340143.08,98.03,Completed,High,Medium,"[""Reduced maintenance costs"", ""Increased capacity"", ""Cost savings"", ""Improved operational efficiency"", ""Better environmental compliance""]","[""Commissioning"", ""Equipment procurement"", ""Project planning completed"", ""Testing phase"", ""Installation completed"", ""Staff training""]","[""Local Community"", ""Safety Department"", ""Customer Service"", ""Regulatory Bodies""]"
CAPEX-000164,Safety Enhancement Project 164,Safety Enhancement,2023-07-13,2024-06-07,,2437992.06,178586.06,2616578.12,2503158.18,97.18,On Track,Medium,Low,"[""Improved operational efficiency"", ""Increased capacity"", ""Cost savings""]","[""Project planning completed"", ""Installation completed"", ""Staff training"", ""Design phase completed""]","[""Regulatory Bodies"", ""Environmental Team"", ""Safety Department"", ""Operations Team"", ""Maintenance Team""]"
CAPEX-000165,Facility Expansion Project 165,Facility Expansion,2023-08-16,2025-04-07,,2175451.58,188316.68,2363768.26,539911.34,22.04,In Progress,Medium,High,"[""Technology advancement"", ""Enhanced safety measures"", ""Reduced maintenance costs"", ""Increased capacity"", ""Better environmental compliance""]","[""Testing phase"", ""Project handover"", ""Equipment procurement"", ""Installation completed"", ""Design phase completed""]","[""Maintenance Team"", ""Regulatory Bodies"", ""Contractors"", ""Environmental Team"", ""Local Community""]"
CAPEX-000166,Treatment Plant Modernization Project 166,Treatment Plant Modernization,2023-08-14,2025-03-06,2025-03-06,2062748.44,172948.64,2235697.08,2323809.21,91.01,Completed,High,Medium,"[""Improved operational efficiency"", ""Cost savings"", ""Technology advancement"", ""Enhanced safety measures"", ""Better environmental compliance""]","[""Commissioning"", ""Project planning completed"", ""Project handover"", ""Equipment procurement"", ""Design phase completed"", ""Installation completed""]","[""Operations Team"", ""Regulatory Bodies"", ""Environmental Team""]"
CAPEX-000167,Safety Enhancement Project 167,Safety Enhancement,2023-08-27,2025-07-17,,2652927.16,321430.2,2974357.36,1548410.38,47.8,In Progress,Low,Medium,"[""Improved operational efficiency"", ""Enhanced safety measures"", ""Improved customer service"", ""Increased capacity""]","[""Installation completed"", ""Project planning completed"", ""Testing phase"", ""Staff training"", ""Design phase completed""]","[""Safety Department"", ""Regulatory Bodies"", ""Operations Team"", ""Contractors"", ""Maintenance Team""]"
CAPEX-000168,Infrastructure Upgrade Project 168,Infrastructure Upgrade,2023-08-13,2024-01-10,2024-01-10,4984404.0,637840.66,5622244.67,5504338.46,87.06,Completed,Low,Low,"[""Enhanced safety measures"", ""Improved operational efficiency"", ""Increased capacity"", ""Reduced maintenance costs"", ""Improved customer service""]","[""Testing phase"", ""Design phase completed"", ""Project handover"", ""Commissioning"", ""Installation completed""]","[""Operations Team"", ""Safety Department"", ""Maintenance Team"", ""Environmental Team""]"
CAPEX-000169,Treatment Plant Modernization Project 169,Treatment Plant Modernization,2023-09-24,2024-02-21,2024-02-21,2565528.91,215495.68,2781024.59,2788414.71,82.34,Completed,Low,High,"[""Technology advancement"", ""Better environmental compliance"", ""Increased capacity"", ""Cost savings""]","[""Staff training"", ""Commissioning"", ""Installation completed"", ""Project handover""]","[""Operations Team"", ""Environmental Team"", ""Contractors"", ""Safety Department"", ""Regulatory Bodies""]"
CAPEX-000170,Safety Enhancement Project 170,Safety Enhancement,2023-09-27,2024-07-23,2024-07-23,3416873.58,249407.9,3666281.48,4000239.9,86.31,Completed,Low,Medium,"[""Increased capacity"", ""Improved operational efficiency"", ""Better environmental compliance""]","[""Staff training"", ""Project planning completed"", ""Testing phase"", ""Design phase completed"", ""Installation completed"", ""Project handover""]","[""Environmental Team"", ""Customer Service"", ""Safety Department"", ""Maintenance Team""]"
CAPEX-000171,Technology Implementation Project 171,Technology Implementation,2023-09-22,2024-06-18,2024-06-18,1250820.72,92817.97,1343638.69,1270869.24,85.31,Completed,Low,Medium,"[""Enhanced safety measures"", ""Improved operational efficiency"", ""Cost savings""]","[""Project handover"", ""Testing phase"", ""Project planning completed"", ""Commissioning"", ""Staff training"", ""Design phase completed""]","[""Regulatory Bodies"", ""Environmental Team"", ""Customer Service"", ""Safety Department""]"
CAPEX-000172,Automation Project Project 172,Automation Project,2023-09-12,2025-04-04,,1473306.45,106386.4,1579692.85,663779.03,46.13,On Track,Medium,High,"[""Improved customer service"", ""Better environmental compliance"", ""Technology advancement""]","[""Project handover"", ""Project planning completed"", ""Staff training"", ""Testing phase""]","[""Regulatory Bodies"", ""Contractors"", ""Operations Team"", ""Local Community""]"
CAPEX-000173,Technology Implementation Project 173,Technology Implementation,2023-09-19,2025-06-10,,593664.35,51150.26,644814.61,416765.34,68.95,On Track,High,Medium,"[""Improved customer service"", ""Reduced maintenance costs"", ""Enhanced safety measures"", ""Better environmental compliance""]","[""Installation completed"", ""Project handover"", ""Staff training"", ""Equipment procurement"", ""Testing phase""]","[""Customer Service"", ""Environmental Team"", ""Maintenance Team"", ""Contractors""]"
CAPEX-000174,Technology Implementation Project 174,Technology Implementation,2023-11-02,2024-04-30,2024-04-30,3631995.75,473644.06,4105639.81,4398214.87,91.11,Completed,High,High,"[""Technology advancement"", ""Cost savings"", ""Improved operational efficiency""]","[""Commissioning"", ""Installation completed"", ""Design phase completed"", ""Testing phase""]","[""Regulatory Bodies"", ""Local Community"", ""Environmental Team"", ""Safety Department"", ""Customer Service""]"
CAPEX-000175,Infrastructure Upgrade Project 175,Infrastructure Upgrade,2023-10-19,2024-04-16,2024-04-16,3483661.56,195097.72,3678759.28,3661498.12,96.28,Completed,Medium,High,"[""Increased capacity"", ""Reduced maintenance costs"", ""Cost savings"", ""Technology advancement""]","[""Testing phase"", ""Equipment procurement"", ""Project planning completed"", ""Installation completed"", ""Staff training"", ""Design phase completed""]","[""Environmental Team"", ""Customer Service"", ""Local Community"", ""Regulatory Bodies"", ""Maintenance Team""]"
CAPEX-000176,Environmental Compliance Project 176,Environmental Compliance,2023-11-16,2025-11-05,,2601178.18,331583.72,2932761.9,960176.02,35.75,Delayed,Medium,Medium,"[""Reduced maintenance costs"", ""Cost savings"", ""Enhanced safety measures"", ""Technology advancement"", ""Better environmental compliance""]","[""Commissioning"", ""Project handover"", ""Project planning completed"", ""Staff training"", ""Design phase completed"", ""Installation completed""]","[""Regulatory Bodies"", ""Safety Department"", ""Contractors""]"
CAPEX-000177,Facility Expansion Project 177,Facility Expansion,2023-11-28,2024-10-23,2024-10-23,3066386.37,274581.2,3340967.57,3528712.6,97.75,Completed,Low,High,"[""Technology advancement"", ""Better environmental compliance"", ""Enhanced safety measures"", ""Improved customer service"", ""Improved operational efficiency""]","[""Installation completed"", ""Staff training"", ""Equipment procurement"", ""Project planning completed""]","[""Safety Department"", ""Environmental Team"", ""Operations Team""]"
CAPEX-000178,Treatment Plant Modernization Project 178,Treatment Plant Modernization,2023-11-08,2025-05-01,,2787325.34,146715.03,2934040.37,981269.61,31.76,In Progress,High,Medium,"[""Reduced maintenance costs"", ""Improved operational efficiency"", ""Improved customer service"", ""Better environmental compliance"", ""Technology advancement""]","[""Installation completed"", ""Staff training"", ""Equipment procurement"", ""Project handover""]","[""Safety Department"", ""Maintenance Team"", ""Customer Service"", ""Local Community"", ""Operations Team""]"
CAPEX-000179,Environmental Compliance Project 179,Environmental Compliance,2024-01-02,2025-01-26,,4334781.59,419257.25,4754038.84,5167504.8,97.42,On Track,High,High,"[""Reduced maintenance costs"", ""Increased capacity"", ""Cost savings"", ""Better environmental compliance"", ""Improved customer service""]","[""Testing phase"", ""Equipment procurement"", ""Installation completed"", ""Project handover"", ""Design phase completed"", ""Project planning completed""]","[""Customer Service"", ""Safety Department"", ""Environmental Team"", ""Local Community""]"
CAPEX-000180,Facility Expansion Project 180,Facility Expansion,2024-01-05,2024-04-04,2024-04-04,2664249.58,335240.78,2999490.36,2871569.44,82.73,Completed,Low,Medium,"[""Increased capacity"", ""Improved operational efficiency"", ""Better environmental compliance"", ""Reduced maintenance costs""]","[""Installation completed"", ""Commissioning"", ""Project planning completed"", ""Testing phase"", ""Equipment procurement"", ""Staff training""]","[""Local Community"", ""Environmental Team"", ""Maintenance Team"", ""Regulatory Bodies""]"
CAPEX-000181,Safety Enhancement Project 181,Safety Enhancement,2024-01-31,2025-04-25,,1180902.89,68399.04,1249301.93,627049.97,50.03,Delayed,Low,High,"[""Increased capacity"", ""Improved customer service"", ""Cost savings"", ""Technology advancement""]","[""Commissioning"", ""Design phase completed"", ""Project planning completed"", ""Project handover"", ""Testing phase""]","[""Maintenance Team"", ""Regulatory Bodies"", ""Environmental Team"", ""Customer Service""]"
CAPEX-000182,Facility Expansion Project 182,Facility Expansion,2024-02-26,2025-12-17,,2510780.47,206045.62,2716826.09,361756.71,12.17,In Progress,High,Low,"[""Increased capacity"", ""Enhanced safety measures"", ""Improved customer service"", ""Better environmental compliance""]","[""Project planning completed"", ""Design phase completed"", ""Project handover"", ""Commissioning"", ""Staff training"", ""Testing phase""]","[""Regulatory Bodies"", ""Environmental Team"", ""Safety Department""]"
CAPEX-000183,Automation Project Project 183,Automation Project,2024-02-15,2025-07-09,,3514980.53,186904.56,3701885.1,249487.48,6.42,In Progress,High,Medium,"[""Enhanced safety measures"", ""Increased capacity"", ""Better environmental compliance"", ""Technology advancement""]","[""Testing phase"", ""Commissioning"", ""Installation completed"", ""Project planning completed""]","[""Environmental Team"", ""Contractors"", ""Local Community""]"
CAPEX-000184,Technology Implementation Project 184,Technology Implementation,2024-02-27,2024-06-26,2024-06-26,1075981.39,132918.43,1208899.83,1249037.21,81.88,Completed,Medium,Medium,"[""Increased capacity"", ""Reduced maintenance costs"", ""Enhanced safety measures"", ""Improved operational efficiency"", ""Technology advancement""]","[""Project handover"", ""Staff training"", ""Equipment procurement"", ""Design phase completed"", ""Commissioning""]","[""Environmental Team"", ""Operations Team"", ""Maintenance Team""]"
